NDVI,NDRE,RGB_Damage_Score,N,P,K,Moisture,pH,Temperature,Humidity,Energy_Consumed_mAh,Latency_ms,Cluster_KMeans,Cluster_Agglomerative,Zone_ID,Image_Type,Action_Suggested,PCA1,PCA2,Cluster_Birch
0.58,0.35,0.36,67,14,62,14.6,5.17,26.14,85.19,2.88,92.51,1,0.0,Z3,RGB,Apply Pesticide,-0.2894903738782299,0.2180073473934659,0
0.49,0.59,0.5,32,23,88,18.06,6.75,39.5,77.49,4.02,76.96,1,1.0,Z6,Multispectral,Irrigate,0.1164320892196166,-0.2150429785779345,0
0.3,0.2,0.5,58,44,22,23.15,6.65,27.24,83.31,2.86,15.05,0,0.0,Z1,Multispectral,Apply Fertilizer,0.3993818943716164,0.2531900852741436,1
0.58,0.35,0.79,22,29,51,35.08,7.1,36.01,62.81,2.46,49.05,0,1.0,Z5,RGB,Irrigate,0.1333088564544493,-0.2398029948210925,0
0.58,0.35,0.62,37,8,31,12.17,7.11,27.83,29.44,8.85,78.07,1,1.0,Z5,RGB,Apply Fertilizer,-0.4614936343123658,-0.2880053200807067,0
0.58,0.35,0.79,49,21,82,20.3,7.67,24.41,43.29,5.75,53.43,1,0.0,Z6,RGB,Irrigate,-0.0108235406095906,0.0602916571709432,0
0.55,0.2,0.5,64,31,58,22.99,7.91,36.68,45.23,1.6,75.88,0,0.0,Z9,Multispectral,Monitor,0.1630813718190246,0.3528721939694501,0
0.52,0.33,0.5,54,25,71,32.41,5.16,20.61,43.79,3.26,85.43,0,1.0,Z3,Multispectral,Apply Pesticide,-0.0647308454557029,0.2095278598811298,0
0.58,0.35,0.5,53,19,84,11.05,7.06,35.77,35.51,4.16,42.62,1,1.0,Z3,RGB,Apply Pesticide,-0.0334388364092044,0.1453533541416228,1
0.58,0.35,0.83,63,6,85,28.69,6.14,31.03,65.15,4.67,13.29,1,0.0,Z10,RGB,Apply Fertilizer,-0.4126330757095671,0.3863549742999644,1
0.58,0.35,0.23,59,40,55,25.36,7.94,35.94,93.08,1.71,42.37,0,1.0,Z9,RGB,Apply Pesticide,0.4315032173705435,0.2859598371813878,1
0.31,0.26,0.5,39,31,59,15.64,6.39,40.46,40.28,1.15,29.06,0,0.0,Z6,Multispectral,Monitor,0.2075524048321751,0.0071014953289294,1
0.48,0.49,0.5,56,24,35,12.23,6.34,23.95,63.41,3.08,28.36,1,0.0,Z4,Multispectral,Monitor,-0.0609723366969477,0.1091389430175994,1
0.3,0.59,0.5,43,39,26,34.68,6.46,31.95,30.73,8.58,89.28,0,1.0,Z5,Multispectral,Monitor,0.2093044722623446,0.0433019525135842,0
0.58,0.35,0.1,51,22,39,23.16,7.23,19.78,82.11,7.03,81.99,1,0.0,Z4,RGB,Irrigate,-0.1142548600571225,-0.0394610739612883,0
0.78,0.22,0.5,70,32,88,33.85,6.71,23.69,65.86,6.62,89.68,0,1.0,Z9,Multispectral,Monitor,0.1845024257846004,0.4532699044072561,0
0.58,0.35,0.9,59,9,32,19.88,6.59,24.41,94.53,1.12,83.88,1,0.0,Z2,RGB,Apply Fertilizer,-0.4488438094296321,0.0592008284467195,0
0.58,0.35,0.43,28,7,85,34.28,7.15,20.97,54.04,9.03,69.52,1,1.0,Z3,RGB,Apply Fertilizer,-0.3731826194598167,-0.2701814050464123,0
0.58,0.35,0.81,62,17,78,30.34,7.08,26.62,41.64,4.24,93.81,1,1.0,Z1,RGB,Irrigate,-0.1947413110243077,0.295834719662597,0
0.58,0.35,0.74,72,33,63,36.63,7.02,32.14,47.56,5.04,47.53,0,0.0,Z5,RGB,Apply Fertilizer,0.1553144476271181,0.5961090586473337,1
0.85,0.48,0.5,57,9,36,13.34,7.78,23.19,82.32,5.77,31.7,1,0.0,Z4,Multispectral,Apply Fertilizer,-0.3856048295233032,0.031887235767246,1
0.58,0.35,0.85,60,35,48,29.92,5.1,36.13,50.2,8.99,32.57,0,0.0,Z10,RGB,Irrigate,0.1647388402843114,0.3801249617286181,1
0.63,0.13,0.5,51,11,67,18.35,6.34,33.2,82.68,5.21,24.69,1,0.0,Z3,Multispectral,Monitor,-0.2727016175997724,0.0800437543096787,1
0.39,0.32,0.5,47,33,73,9.31,6.57,30.11,79.39,4.07,84.86,0,0.0,Z5,Multispectral,Monitor,0.2980230069887336,-0.0729505227682019,0
0.58,0.35,0.49,68,43,54,36.84,5.33,23.32,89.97,5.09,74.58,0,0.0,Z4,RGB,Apply Fertilizer,0.3509758958231437,0.4421821693908621,0
0.58,0.35,0.72,27,14,56,12.65,7.57,20.28,67.56,3.51,54.76,1,1.0,Z1,RGB,Apply Pesticide,-0.186108254676212,-0.430997585299847,0
0.58,0.35,0.53,41,6,88,25.91,6.7,39.66,58.84,4.38,37.23,1,1.0,Z6,RGB,Apply Fertilizer,-0.3454761589132618,0.0215166786592124,1
0.58,0.35,0.0,55,32,62,33.93,5.78,40.99,81.32,9.36,15.24,0,0.0,Z1,RGB,Monitor,0.1817682452893115,0.3311787628600765,1
0.58,0.35,0.6,67,25,93,16.54,5.84,34.34,75.64,7.34,22.63,0,0.0,Z6,RGB,Monitor,0.1074982855206867,0.4001931400589833,1
0.58,0.35,0.51,15,9,22,8.81,7.7,19.67,66.24,2.95,89.53,1,1.0,Z5,RGB,Apply Fertilizer,-0.3839078746237038,-0.7470124701397857,0
0.58,0.35,0.06,63,6,70,13.52,6.85,26.94,34.08,5.13,46.4,1,0.0,Z3,RGB,Apply Pesticide,-0.4429530766115781,0.2390646950322411,1
0.58,0.35,0.88,23,35,63,30.85,5.85,39.9,94.95,1.9,34.93,0,1.0,Z9,RGB,Apply Fertilizer,0.3333244124241623,-0.2152704613757325,1
0.81,0.29,0.5,16,43,82,26.86,7.44,27.92,54.84,1.25,38.36,0,1.0,Z2,Multispectral,Irrigate,0.5865250154662734,-0.326609679187837,1
0.58,0.35,0.68,61,18,60,28.18,6.42,19.24,51.39,9.49,13.52,1,0.0,Z4,RGB,Apply Pesticide,-0.2104338253806078,0.2967708072961479,1
0.58,0.35,0.44,42,5,28,34.51,7.72,22.12,67.36,4.52,20.1,1,0.0,Z4,RGB,Irrigate,-0.5527152077243509,-0.0427530482875552,1
0.78,0.35,0.5,28,28,55,20.18,5.5,37.53,79.3,4.32,76.46,0,1.0,Z1,Multispectral,Monitor,0.1147297958415051,-0.2848575373381926,0
0.58,0.35,0.36,38,10,41,33.77,6.6,34.9,53.7,3.12,32.2,1,1.0,Z8,RGB,Apply Fertilizer,-0.4054860562470911,-0.0119921711598044,1
0.58,0.35,0.39,54,30,38,9.81,7.41,40.67,30.4,4.38,35.47,0,0.0,Z5,RGB,Apply Pesticide,0.1301852867391997,0.1584482956708441,1
0.58,0.35,0.64,21,38,81,35.43,5.14,36.8,54.3,1.91,77.28,0,1.0,Z3,RGB,Apply Pesticide,0.3723679314273196,-0.19272626390209,0
0.33,0.1,0.5,55,9,74,13.45,6.31,33.87,50.94,7.03,95.72,1,1.0,Z2,Multispectral,Apply Fertilizer,-0.3491329762350557,0.054004766860475,0
0.58,0.35,0.81,69,10,83,24.5,7.27,20.79,29.69,8.99,13.48,1,0.0,Z4,RGB,Monitor,-0.3416612924218778,0.4329798482644778,1
0.58,0.35,0.8,23,33,74,27.08,6.66,31.29,59.56,9.65,94.22,0,0.0,Z1,RGB,Irrigate,0.2714664766057815,-0.3496560944688417,0
0.58,0.35,0.21,39,43,84,12.77,5.38,40.82,74.59,3.62,43.43,0,0.0,Z6,RGB,Apply Pesticide,0.5774529845000503,-0.0178713792226503,1
0.48,0.31,0.5,51,14,71,19.77,6.52,18.31,48.59,2.96,93.19,1,1.0,Z6,Multispectral,Apply Fertilizer,-0.2647454125616309,0.0054762216088771,0
0.79,0.58,0.5,67,5,88,16.17,5.94,27.66,94.49,4.81,69.97,1,0.0,Z5,Multispectral,Apply Fertilizer,-0.4067539121670281,0.2388640584517493,0
0.81,0.43,0.5,58,17,55,14.7,5.17,20.61,48.78,6.1,11.77,1,0.0,Z8,Multispectral,Apply Fertilizer,-0.2357393009769933,0.1923649123318305,1
0.58,0.35,0.74,16,23,78,15.06,5.84,26.6,80.54,5.49,92.53,1,1.0,Z6,RGB,Monitor,0.0718413176061769,-0.5773281553230636,0
0.6,0.33,0.5,72,36,29,34.26,7.27,18.21,94.01,1.03,71.09,0,0.0,Z9,Multispectral,Monitor,0.1583278113004567,0.4189486166797462,0
0.58,0.35,0.26,33,13,76,32.56,5.07,36.52,42.44,3.28,53.44,1,1.0,Z2,RGB,Monitor,-0.2781434368007061,-0.042170226235886,1
0.25,0.18,0.5,25,23,58,28.45,5.71,38.33,65.61,3.16,10.43,1,1.0,Z9,Multispectral,Apply Pesticide,-0.0004709454665589,-0.1691897726943922,1
0.58,0.35,0.24,33,17,55,8.68,7.54,23.65,30.39,7.07,99.23,1,1.0,Z1,RGB,Monitor,-0.1604436711047688,-0.3676749539413627,0
0.72,0.25,0.5,40,23,70,30.16,5.34,29.77,89.61,8.0,77.45,1,0.0,Z3,Multispectral,Irrigate,-0.028180515514979,-0.0794933686011774,0
0.74,0.22,0.5,69,9,67,11.2,5.76,27.24,25.85,4.25,36.35,1,1.0,Z9,Multispectral,Apply Pesticide,-0.409920426765337,0.3653104520676311,1
0.47,0.4,0.5,54,7,42,32.19,7.92,23.37,84.3,2.93,42.5,1,0.0,Z4,Multispectral,Apply Fertilizer,-0.4617910973563661,0.1123094073356547,1
0.58,0.35,0.35,59,23,76,31.36,6.04,37.97,63.9,5.77,58.39,1,0.0,Z8,RGB,Monitor,-0.0268368148937543,0.3375923513862109,0
0.4,0.25,0.5,58,8,29,15.02,5.26,31.56,88.79,8.33,58.73,1,0.0,Z6,Multispectral,Apply Fertilizer,-0.4915982458344141,0.0565801425962336,0
0.42,0.18,0.5,29,37,46,17.53,5.17,26.88,53.31,9.52,67.78,0,0.0,Z7,Multispectral,Apply Pesticide,0.2659756897685326,-0.2912131237074906,0
0.69,0.48,0.5,23,41,73,14.03,6.8,24.43,83.19,8.26,53.41,0,0.0,Z1,Multispectral,Apply Pesticide,0.5288853044977851,-0.4173999035544345,0
0.58,0.35,0.26,53,12,81,14.79,5.43,37.2,29.39,9.45,49.35,1,0.0,Z7,RGB,Irrigate,-0.2770035732988066,0.1505538454963284,1
0.71,0.43,0.5,60,16,32,31.71,7.53,18.11,90.75,3.67,42.36,1,0.0,Z8,Multispectral,Apply Pesticide,-0.2895927304854185,0.188264020869849,1
0.55,0.25,0.5,51,11,57,29.58,5.9,19.83,44.79,9.18,11.68,1,0.0,Z3,Multispectral,Monitor,-0.3977503915556709,0.148025922152493,1
0.58,0.35,0.58,46,6,73,8.44,6.34,39.45,27.65,8.93,10.05,1,0.0,Z6,RGB,Irrigate,-0.3771322865506891,0.0237224028867109,1
0.31,0.13,0.5,59,25,90,20.99,7.03,21.76,90.69,1.58,52.34,0,0.0,Z8,Multispectral,Monitor,0.1132980199124373,0.2049308779416291,1
0.58,0.35,0.87,45,32,60,33.03,7.32,19.22,51.36,6.85,38.03,0,1.0,Z3,RGB,Apply Fertilizer,0.1657941733912282,0.0738708920344528,1
0.58,0.35,0.28,67,22,74,26.34,6.28,22.87,66.51,3.39,24.48,1,0.0,Z8,RGB,Apply Pesticide,-0.0622196963274752,0.4208095571310302,1
0.38,0.38,0.5,50,40,45,27.68,5.16,39.21,82.16,7.67,52.59,0,0.0,Z1,Multispectral,Monitor,0.3308207521000763,0.1624751752589122,1
0.49,0.3,0.5,45,32,67,26.38,6.82,27.03,38.9,7.22,44.56,0,0.0,Z2,Multispectral,Irrigate,0.1897748129880312,0.0811968597475615,1
0.58,0.35,0.57,20,17,82,19.42,5.96,24.12,58.15,6.76,54.84,1,1.0,Z2,RGB,Apply Fertilizer,-0.093764719893147,-0.4280986875425048,1
0.58,0.35,0.53,24,22,21,22.85,7.71,20.52,41.98,9.74,83.93,1,1.0,Z2,RGB,Apply Pesticide,-0.1411102551471034,-0.4658762967143847,0
0.58,0.35,0.65,50,44,74,14.37,7.27,18.89,58.69,6.23,80.68,0,0.0,Z9,RGB,Irrigate,0.5335634763474003,0.0069877000219912,0
0.58,0.35,0.29,20,31,35,26.36,5.47,33.49,62.56,5.98,43.73,0,0.0,Z1,RGB,Apply Fertilizer,0.116860986773243,-0.3416562616172923,1
0.41,0.42,0.5,45,17,75,36.29,6.9,20.46,92.54,6.42,15.17,1,0.0,Z2,Multispectral,Apply Fertilizer,-0.1384314536076418,0.0672735662246361,1
0.58,0.35,0.45,31,25,27,8.35,6.28,27.33,45.43,2.74,73.46,0,0.0,Z6,RGB,Monitor,-0.0342019935751599,-0.3483687165760654,0
0.58,0.35,0.59,32,40,90,25.12,5.33,23.28,65.04,9.05,42.77,0,0.0,Z6,RGB,Irrigate,0.4524782916950468,-0.129962577626905,1
0.47,0.55,0.5,52,36,34,15.17,7.21,22.96,77.66,4.03,94.5,0,0.0,Z2,Multispectral,Apply Fertilizer,0.2411021517199152,-0.0359392195940246,0
0.63,0.47,0.5,63,10,79,29.26,6.04,23.19,85.78,3.09,53.43,1,0.0,Z3,Multispectral,Apply Pesticide,-0.3439675726248409,0.2915850974247309,0
0.63,0.5,0.5,25,36,59,13.5,7.7,28.71,75.53,1.82,40.16,0,0.0,Z8,Multispectral,Monitor,0.3992953996634711,-0.3504672397817555,1
0.58,0.35,0.62,38,33,29,12.66,7.63,18.5,52.76,7.74,65.29,0,0.0,Z7,RGB,Irrigate,0.1701680683394002,-0.2608172629069821,0
0.67,0.28,0.5,53,15,57,23.04,5.88,36.23,75.2,4.52,20.92,1,1.0,Z3,Multispectral,Apply Pesticide,-0.2273182923065781,0.1789687778683967,1
0.5,0.45,0.5,51,35,54,22.0,6.53,38.9,41.13,7.68,56.65,0,0.0,Z8,Multispectral,Monitor,0.2434884117572689,0.1679053942586297,1
0.58,0.35,0.87,61,38,83,14.27,6.92,24.93,30.76,8.47,55.53,0,0.0,Z3,RGB,Apply Pesticide,0.3777600189628711,0.2659761757039867,0
0.58,0.35,0.74,20,15,48,19.95,5.2,33.93,77.04,3.0,88.02,1,1.0,Z5,RGB,Apply Pesticide,-0.230422807097173,-0.4724277046333236,0
0.67,0.13,0.5,64,29,59,13.7,7.89,30.35,40.77,9.0,72.04,0,0.0,Z10,Multispectral,Monitor,0.1209177224553479,0.2341252829732021,0
0.58,0.35,0.62,36,13,27,9.7,7.89,22.31,44.12,2.25,73.24,1,1.0,Z5,RGB,Irrigate,-0.3108287140361195,-0.3242746412388724,0
0.38,0.34,0.5,30,40,54,9.64,5.28,27.73,85.01,6.39,76.41,0,0.0,Z4,Multispectral,Apply Fertilizer,0.4146376093496058,-0.349924593198514,0
0.37,0.16,0.5,39,32,29,25.56,7.03,20.75,91.25,9.61,92.19,0,0.0,Z8,Multispectral,Monitor,0.1183330853169792,-0.2380441645189447,0
0.27,0.4,0.5,28,10,62,23.61,6.18,18.45,79.14,7.75,94.26,1,1.0,Z9,Multispectral,Apply Fertilizer,-0.3467140383185923,-0.4208473927892288,0
0.35,0.56,0.5,56,32,63,34.27,7.16,21.72,43.62,2.29,41.24,0,0.0,Z9,Multispectral,Irrigate,0.1489435474408168,0.3064113923523485,1
0.54,0.6,0.5,72,21,68,31.38,7.27,27.68,46.13,7.56,26.5,1,0.0,Z9,Multispectral,Monitor,-0.1104917316267208,0.5343350959349575,1
0.56,0.44,0.5,27,13,75,27.0,6.83,19.16,48.89,5.83,38.89,1,1.0,Z2,Multispectral,Irrigate,-0.2324701493229045,-0.2718493520516949,1
0.63,0.39,0.5,59,33,33,26.71,5.4,19.84,70.63,4.33,43.29,0,0.0,Z6,Multispectral,Monitor,0.0790554579746705,0.236783783849101,1
0.88,0.54,0.5,44,15,36,22.76,6.76,41.78,25.66,6.67,70.04,1,1.0,Z7,Multispectral,Irrigate,-0.2970232566321117,0.0062302356917977,0
0.58,0.35,0.73,53,21,25,13.06,5.15,27.54,85.98,6.94,33.37,1,0.0,Z3,RGB,Apply Pesticide,-0.1689463369880318,0.0188409496736331,1
0.58,0.35,0.45,20,24,80,16.09,6.87,21.44,61.11,1.82,41.93,0,1.0,Z6,RGB,Irrigate,0.1119600836858107,-0.4186452464646259,1
0.58,0.35,0.33,63,19,65,32.29,5.61,21.0,25.14,8.39,42.45,1,0.0,Z3,RGB,Apply Fertilizer,-0.2375503214783711,0.3863900895265088,1
0.44,0.55,0.5,16,41,41,34.69,6.17,26.63,75.53,9.18,23.96,0,0.0,Z10,Multispectral,Monitor,0.3871875162565164,-0.3615559222869486,1
0.58,0.35,0.99,72,14,42,23.21,7.54,30.67,73.57,4.51,18.27,1,0.0,Z1,RGB,Monitor,-0.2901416684881598,0.4270033666238666,1
0.58,0.35,0.74,31,23,39,16.73,7.4,33.5,75.77,5.1,76.02,1,1.0,Z4,RGB,Apply Fertilizer,-0.0091065329370031,-0.3303429324875782,0
0.58,0.35,0.23,60,36,43,37.97,6.6,20.63,27.14,6.5,46.44,0,0.0,Z2,RGB,Apply Fertilizer,0.1381835259089355,0.3819456034630777,1
0.58,0.35,0.43,23,10,62,11.1,6.22,20.07,31.03,3.92,40.74,1,1.0,Z2,RGB,Apply Pesticide,-0.3212995589102909,-0.4248706680408515,1
0.4,0.27,0.5,56,11,72,14.35,5.95,26.02,36.18,4.45,62.65,1,1.0,Z4,Multispectral,Monitor,-0.3313705838267805,0.1305261910599786,0
0.58,0.35,0.98,39,32,58,20.58,7.84,38.37,54.5,1.75,56.92,0,1.0,Z1,RGB,Apply Fertilizer,0.2536623632171634,-0.0478741426912886,1
0.58,0.47,0.5,66,23,64,16.38,7.12,24.58,34.68,8.93,77.77,1,0.0,Z1,Multispectral,Irrigate,-0.0599784394195329,0.2632770274258298,0
0.58,0.35,0.22,56,12,40,19.05,7.12,30.84,45.79,5.98,78.72,1,1.0,Z5,RGB,Apply Fertilizer,-0.3673204963666314,0.0916814604199838,0
0.58,0.35,0.62,36,13,44,19.47,6.94,40.88,79.33,8.92,92.38,1,0.0,Z6,RGB,Irrigate,-0.2627037424050172,-0.2608728159945678,0
0.58,0.35,0.77,68,13,66,28.49,7.25,21.61,72.4,7.3,70.28,1,0.0,Z6,RGB,Apply Fertilizer,-0.3035755853582115,0.3101552949564029,0
0.58,0.35,0.93,46,30,42,33.54,7.7,41.08,77.02,5.83,20.8,0,0.0,Z5,RGB,Monitor,0.1434801408840541,0.1420508586728697,1
0.26,0.45,0.5,35,44,39,35.31,5.55,32.76,31.15,4.65,67.89,0,0.0,Z7,Multispectral,Apply Fertilizer,0.3679714844288561,0.0093693346308747,0
0.58,0.35,0.67,32,38,62,37.48,6.34,24.08,86.57,9.62,35.23,0,0.0,Z10,RGB,Apply Fertilizer,0.3410234348805028,-0.1131362759223944,1
0.58,0.35,0.14,29,33,81,13.07,5.45,34.97,55.02,9.78,25.86,0,0.0,Z2,RGB,Monitor,0.3123013376335141,-0.2092962736362223,1
0.58,0.35,0.69,30,42,70,10.44,7.58,24.12,55.59,9.87,18.35,0,0.0,Z1,RGB,Apply Pesticide,0.5502878289477812,-0.2655637767349968,1
0.58,0.35,0.48,21,14,78,11.79,5.22,38.38,27.07,2.38,64.88,1,1.0,Z6,RGB,Monitor,-0.1796492045651727,-0.3606333535881884,1
0.38,0.43,0.5,34,17,88,21.69,6.34,30.23,72.37,1.1,54.17,1,0.0,Z3,Multispectral,Apply Fertilizer,-0.0679370153628668,-0.1497785317493175,1
0.41,0.47,0.5,18,25,46,12.46,7.26,31.19,64.14,4.37,74.16,0,0.0,Z8,Multispectral,Monitor,0.0755809343506704,-0.5404222605572186,0
0.26,0.24,0.5,48,16,81,28.25,6.52,25.39,60.33,5.2,16.02,1,1.0,Z2,Multispectral,Apply Fertilizer,-0.1584533632527127,0.137553583222955,1
0.68,0.26,0.5,41,38,48,37.07,6.64,21.71,44.99,1.84,77.58,0,0.0,Z2,Multispectral,Apply Fertilizer,0.2465342842561568,0.0394524478391528,0
0.33,0.33,0.5,16,15,81,15.42,5.89,40.51,75.38,1.76,99.54,1,1.0,Z8,Multispectral,Apply Fertilizer,-0.0967282950920087,-0.5192229114997,0
0.58,0.35,0.92,22,8,81,30.64,6.84,18.2,59.5,7.63,62.26,1,1.0,Z4,RGB,Apply Pesticide,-0.3423612010309295,-0.3943457009505421,0
0.66,0.58,0.5,45,44,30,10.69,6.22,25.88,37.56,6.39,85.05,0,1.0,Z9,Multispectral,Monitor,0.3982433217198474,-0.0864440098686028,0
0.58,0.35,0.33,35,36,31,30.3,6.76,31.78,81.29,3.55,49.53,0,0.0,Z9,RGB,Monitor,0.2406541604297485,-0.1089086110618822,0
0.58,0.35,0.7,36,13,71,23.54,5.86,36.55,63.62,4.6,49.41,1,1.0,Z4,RGB,Monitor,-0.2309537024081135,-0.1041550700112788,1
0.58,0.35,0.75,65,27,68,13.58,5.25,27.95,26.11,5.97,86.44,0,1.0,Z8,RGB,Irrigate,0.0095928366476613,0.2926170913528023,0
0.77,0.1,0.5,27,43,81,36.55,6.13,20.65,56.01,4.94,44.38,0,1.0,Z7,Multispectral,Apply Fertilizer,0.4871414333324061,-0.1231158860128421,1
0.41,0.58,0.5,46,12,20,33.03,5.11,37.7,48.28,2.32,61.36,1,1.0,Z9,Multispectral,Irrigate,-0.4695312657438661,0.0933345318369577,1
0.89,0.44,0.5,53,42,29,15.8,6.99,26.81,67.84,4.62,18.77,0,0.0,Z5,Multispectral,Monitor,0.390076988090411,0.1241190825651787,1
0.39,0.47,0.5,27,43,89,24.35,7.52,29.11,42.95,9.41,12.91,0,1.0,Z7,Multispectral,Irrigate,0.5924558315242733,-0.1459871730153811,1
0.58,0.35,0.53,46,38,63,13.05,7.07,27.49,59.24,8.24,63.45,0,0.0,Z1,RGB,Apply Pesticide,0.3803694269912155,-0.0445960057038431,1
0.58,0.35,0.54,53,28,24,20.43,7.01,28.22,60.88,2.38,57.09,0,0.0,Z8,RGB,Apply Fertilizer,0.0028303246725644,0.0905393696657383,1
0.64,0.47,0.5,19,41,82,10.72,7.72,33.97,35.77,5.63,95.16,0,1.0,Z5,Multispectral,Apply Pesticide,0.5565461172515537,-0.4487906945757146,0
0.28,0.33,0.5,64,7,36,14.19,5.45,41.25,85.29,3.22,72.99,1,1.0,Z2,Multispectral,Apply Fertilizer,-0.4853424394276474,0.1996515748029524,0
0.58,0.35,0.83,27,31,66,10.43,7.92,36.93,67.76,8.24,23.19,0,0.0,Z1,RGB,Apply Fertilizer,0.3152571401795243,-0.315508336359548,1
0.43,0.29,0.5,68,24,92,22.21,6.78,23.83,65.56,3.83,35.49,0,0.0,Z1,Multispectral,Monitor,0.0564369376598588,0.4140847105450611,1
0.58,0.35,0.14,35,6,88,16.75,7.8,20.52,63.28,4.85,72.06,1,0.0,Z4,RGB,Irrigate,-0.3275537560758995,-0.2799794558394925,0
0.57,0.24,0.5,43,33,61,14.24,5.59,34.35,68.42,8.77,79.53,0,1.0,Z2,Multispectral,Irrigate,0.2287638674253058,-0.0901619938829288,0
0.58,0.35,0.78,57,19,65,33.16,7.69,35.99,66.72,8.51,89.03,1,0.0,Z5,RGB,Monitor,-0.1275045322049284,0.2046136558373809,0
0.58,0.35,0.97,25,14,93,28.35,7.83,25.28,56.54,3.82,68.48,1,1.0,Z9,RGB,Apply Pesticide,-0.1228588764018859,-0.3040106312975676,0
0.58,0.35,0.49,20,11,64,26.03,6.91,19.35,80.03,3.15,25.78,1,0.0,Z4,RGB,Monitor,-0.2623434908146171,-0.4190583972017272,1
0.58,0.35,0.84,66,30,47,23.05,6.31,21.77,48.12,1.54,29.73,0,0.0,Z2,RGB,Irrigate,0.0571163196292346,0.3897643067142964,1
0.58,0.35,0.78,26,34,24,19.5,5.09,36.09,90.45,8.88,58.42,0,0.0,Z4,RGB,Monitor,0.1840656276694646,-0.3578159240411425,1
0.82,0.49,0.5,44,43,63,11.69,6.22,21.19,66.69,3.95,22.69,0,0.0,Z5,Multispectral,Irrigate,0.5020949804065459,-0.0208056163430643,1
0.58,0.35,0.42,30,30,91,22.66,6.39,32.92,77.56,3.3,47.32,0,1.0,Z4,RGB,Apply Pesticide,0.2760419930846615,-0.1711102001209337,1
0.58,0.35,0.94,21,28,68,32.71,6.91,33.6,58.44,9.87,58.76,0,0.0,Z2,RGB,Apply Pesticide,0.1414642428012499,-0.3085673058965107,0
0.58,0.35,0.79,57,13,90,10.36,5.74,37.3,41.45,3.78,77.5,1,1.0,Z6,RGB,Apply Fertilizer,-0.2065636116514911,0.1646565860708417,0
0.78,0.19,0.5,65,36,92,19.88,5.72,21.41,89.73,3.63,54.4,0,0.0,Z10,Multispectral,Apply Fertilizer,0.346638110942608,0.3256342644585915,0
0.37,0.26,0.5,40,7,37,27.49,6.53,22.97,55.57,8.83,98.33,1,1.0,Z8,Multispectral,Irrigate,-0.5258406806590138,-0.2023179581454661,0
0.58,0.35,0.09,19,38,57,35.44,5.36,21.67,68.37,8.09,58.27,0,0.0,Z4,RGB,Irrigate,0.2996707130232993,-0.3347115030142242,0
0.37,0.51,0.5,29,13,94,20.95,7.8,40.78,52.9,2.13,11.79,1,1.0,Z8,Multispectral,Apply Fertilizer,-0.0860518517927841,-0.1377973417744189,1
0.58,0.35,0.48,27,15,46,27.26,5.85,18.06,76.67,4.51,66.89,1,0.0,Z5,RGB,Monitor,-0.2751870765003371,-0.358100064212583,0
0.39,0.35,0.5,58,40,52,29.36,7.26,19.79,37.8,5.1,84.76,0,1.0,Z2,Multispectral,Monitor,0.3024381883136592,0.237859791499007,0
0.61,0.51,0.5,67,42,33,18.19,6.16,21.3,83.46,2.78,96.16,0,0.0,Z2,Multispectral,Apply Pesticide,0.3291566795863102,0.2434435577964242,0
0.56,0.39,0.5,57,7,80,36.86,5.8,36.66,31.19,1.51,31.51,1,1.0,Z4,Multispectral,Apply Pesticide,-0.4471451248347212,0.4079531677278734,1
0.55,0.49,0.5,39,17,45,37.81,6.76,26.49,76.01,8.33,29.29,1,1.0,Z3,Multispectral,Irrigate,-0.2278265156719955,-0.0349048768340933,1
0.58,0.35,0.63,73,17,54,36.08,6.21,23.92,83.65,6.05,14.94,1,0.0,Z4,RGB,Apply Pesticide,-0.2595077644681943,0.5289861445931194,1
0.58,0.35,0.32,47,26,70,16.98,5.51,19.49,68.18,2.75,99.15,0,1.0,Z9,RGB,Apply Pesticide,0.0344051387443712,-0.0650905992400694,0
0.58,0.35,0.48,56,23,35,14.84,6.56,40.32,82.12,4.04,30.37,1,0.0,Z10,RGB,Apply Fertilizer,-0.0432718022621417,0.1530008241921324,1
0.58,0.35,0.98,19,6,72,34.66,6.8,25.45,37.72,4.74,99.58,1,1.0,Z9,RGB,Irrigate,-0.4397068701457216,-0.4085305071008277,0
0.44,0.55,0.5,36,15,62,29.79,7.79,41.58,41.89,7.01,10.52,1,0.0,Z7,Multispectral,Apply Fertilizer,-0.1713732392025375,-0.0006829090721468,1
0.64,0.15,0.5,53,30,72,25.17,5.9,29.2,60.3,3.9,18.1,0,0.0,Z4,Multispectral,Apply Fertilizer,0.154087282842992,0.2471400744115031,1
0.45,0.59,0.5,38,20,93,10.95,6.1,33.72,61.61,2.53,45.29,1,0.0,Z5,Multispectral,Apply Pesticide,0.0367851063910598,-0.1110760865786112,1
0.58,0.35,0.36,19,37,28,17.21,5.13,21.85,58.64,6.1,99.63,0,0.0,Z4,RGB,Irrigate,0.2202608770150166,-0.5268435204596295,0
0.82,0.46,0.5,49,37,78,15.65,7.2,22.97,85.89,8.39,48.49,0,0.0,Z4,Multispectral,Apply Pesticide,0.4081593208059999,0.0003708841009307,1
0.58,0.35,0.5,23,7,64,29.2,7.66,23.58,62.25,7.42,21.41,1,1.0,Z3,RGB,Irrigate,-0.3651683654658794,-0.3437870709475673,1
